Hi! I'm user_name. What's your name?;Hello, user_name. My name's Emma.
Hi Emma. Are you a new student here?;Yes, I had my first lesson this morning. Are you a new student too?
No, I've been here for six months.;Six months. That's a long time.
It's not so long really. What class are you in? Intermediate or ...?;Intermediate Three. And what about you?
I'm in Advanced One. Who's your teacher?;I can't remember her name, but she's got curly red hair.
Ah! Does she wear glasses?;Yes, I think so.
That's probably Anne Wallis.;Yes that's right. Do you know her? Is she your teacher too?
No. But she taught me last term. How long have you been here?;Only a week.
Wow, not long. Where do you live? With a family?;Well, I'm staying at the YMCA at the moment. I'm looking for somewheremore permanent. Do you know of any good places?
Yes. Actually my friend has a spare room in here apartment and she'slooking for a flatmate. Would you like her phone number?;That would be great! Thanks for your help. Can I buy you coffee?
